Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF/50V","SMD-0805",27.3050,33.6550,-90.0000,bottom
"C4","-","TantalC_SizeD_Reflow",4.4450,15.2400,-90.0000,bottom
"C5","1uF/50V","SMD-0805",17.4625,14.6050,90.0000,bottom
"C6","1uF","SMD-0805",18.4150,38.1000,90.0000,bottom
"C7","100pF","SMD-0805",27.3050,29.2100,-90.0000,bottom
"D2","BYQ28ED-200,118","BYQ28ED-200",12.8950,20.9550,180.0000,bottom
"Q1","IRFR3806-SMD","TO-252-2",22.8600,19.0500,-90.0000,bottom
"R1","1k5","SMD-0805",27.3050,37.4650,-90.0000,bottom
"R2","2M","SMD-0805",20.3200,38.1000,90.0000,bottom
"R3","330k","SMD-0805",22.2250,38.1000,90.0000,bottom
"R4","165k","SMD-0805",24.1300,38.1000,90.0000,bottom
"R5","0R01","SMD-2512",29.2100,17.7800,-90.0000,bottom
"R6","1k","SMD-0805",24.4475,26.3525,180.0000,bottom
"U1","DRV110APWR","TSSOP-14_4.4x5mm_P0.65mm",22.2250,31.7500,-90.0000,bottom
